
2025/02/08 (20:49:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (20:57:37) | ===> btop++ v.1.4.0
2025/02/08 (20:57:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (03:56:57) | ===> btop++ v.1.4.0
2025/02/11 (03:56:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (20:53:06) | ===> btop++ v.1.4.0
2025/02/11 (20:53:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (00:27:18) | ===> btop++ v.1.4.0
2025/02/13 (00:27:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (00:52:31) | ===> btop++ v.1.4.0
2025/02/13 (00:52:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (00:55:38) | ===> btop++ v.1.4.0
2025/02/13 (00:55:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (02:54:49) | ===> btop++ v.1.4.0
2025/02/13 (02:54:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (18:16:26) | ===> btop++ v.1.4.0
2025/02/13 (18:16:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (21:20:20) | ===> btop++ v.1.4.0
2025/02/13 (21:20:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (01:52:27) | ===> btop++ v.1.4.0
2025/02/14 (01:52:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (01:52:45) | ===> btop++ v.1.4.0
2025/02/14 (01:52:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (01:53:39) | ===> btop++ v.1.4.0
2025/02/14 (01:53:39) | WARNING: Intel GPU: Failed to initialize PMU
